,KeywordID,KeywordLabel,DateKeywordCreated,YearKeywordCreated,TotalNumberUsed,TotalNumberIntervieweeUsing,number_of_possible_interview
0,7601,Auschwitz II-Birkenau (Poland : Death Camp),1995-12-08,1995.0,174440,9204,
1,13310,"Oświęcim (Kraków, Poland)",1996-10-29,1996.0,254534,12276,
2,14226,Poland 1944 (July 22) - 1945 (January 16),1996-12-09,1996.0,11188,1002,
3,12044,camp selections,1996-04-12,1996.0,13133,8170,
4,14280,loved ones' separations,1996-12-09,1996.0,4150,3584,
5,11672,loved ones' final contacts,1996-02-09,1996.0,1641,1483,
6,10926,camp forced labor,1996-02-01,1996.0,7643,4310,
7,14233,Poland 1944,1996-12-09,1996.0,160200,9493,
8,4047,"Mengele, Josef",1995-12-08,1995.0,3293,2511,
9,10853,camp intake procedures,1996-01-26,1996.0,9415,8210,
10,15088,camp living conditions,1997-02-26,1997.0,6309,4625,
11,7528,Auschwitz (Poland : Concentration Camp)(generic),1995-12-08,1995.0,44396,3776,
12,14841,camp hiding and evasion,1997-01-22,1997.0,826,696,
13,12575,"Berlin (Prussia, Germany)",1996-09-26,1996.0,19,10,
14,13929,Germany 1944,1996-11-21,1996.0,2294,900,
15,15273,prisons,1997-03-14,1997.0,16,14,
16,15836,transfer from prisons,1997-07-09,1997.0,16,16,
17,16142,transfer to Auschwitz (Poland : Concentration Camp)(generic),1997-07-21,1997.0,291,280,
18,15074,camp food acquisition,1997-02-24,1997.0,1364,1115,
19,13864,camp Jewish religious observances,1996-11-14,1996.0,581,524,
20,10945,identity concealment,1996-02-02,1996.0,152,85,
21,3594,Passover,1995-12-08,1995.0,29,29,
22,17206,Poland 1941 (June 21) - 1945 (May 7),1998-02-24,1998.0,28397,1822,
23,15169,construction forced labor,1997-03-10,1997.0,512,428,
24,32696,skilled forced labor,2000-07-14,2000.0,266,218,
25,30430,attitudes toward Christianity and/or Christians,2000-02-18,2000.0,2,2,
26,17198,attitudes toward Judaism and/or Jews,1998-02-24,1998.0,12,10,
27,16503,camp-related aid giving,1997-11-19,1997.0,5120,3083,
28,17207,preferential treatment,1998-02-25,1998.0,1911,1357,
29,10632,forced marches,1996-01-11,1996.0,1628,1468,
30,16507,forced march-related aid giving,1997-11-19,1997.0,145,136,
31,37072,metaphysical experiences,2001-02-22,2001.0,96,88,
32,16192,Poland 1945 (January 1 - May 7),1997-07-23,1997.0,18586,2235,
33,16162,transfer from Auschwitz (Poland : Concentration Camp)(generic),1997-07-21,1997.0,1330,1251,
34,25452,warnings,1998-11-09,1998.0,793,677,
35,2857,brothers,1995-12-08,1995.0,369,282,
36,13819,extended family members,1996-11-12,1996.0,2739,1885,
37,12126,loved ones' fates,1996-05-02,1996.0,2725,2287,
38,10852,deportation conditions,1996-01-26,1996.0,441,424,
39,16328,deportation to Auschwitz II-Birkenau (Poland : Death Camp),1997-10-31,1997.0,1318,1255,
40,14049,Hungary 1944,1996-12-03,1996.0,705,153,
41,15144,grandparents,1997-03-07,1997.0,37,36,
42,14380,camp adaptation methods,1996-12-12,1996.0,5493,3486,
43,16182,transfer from Krakau-Plaszow (Poland : Concentration Camp),1997-07-21,1997.0,116,112,
44,16345,transfer to Auschwitz II-Birkenau (Poland : Death Camp),1997-11-05,1997.0,605,583,
45,15089,camp prisoner marking,1997-02-26,1997.0,263,251,
46,15187,camp family interactions,1997-03-11,1997.0,2296,1615,
47,15576,loved ones' contacts,1997-04-01,1997.0,525,465,
48,20206,prisoner external contact,1998-04-30,1998.0,854,679,
49,3987,Blockälteste,1995-12-08,1995.0,1997,1520,
50,13018,Auschwitz I (Poland : Concentration Camp),1996-10-10,1996.0,20915,1347,
51,14742,camp Appell,1997-01-15,1997.0,3257,2818,
52,8988,camp barracks,1995-12-08,1995.0,1280,1144,
53,9004,camp uniforms,1995-12-08,1995.0,630,578,
54,4308,prisoner tattoos (stills),1995-12-08,1995.0,3109,3079,
55,16338,transfer from Auschwitz I (Poland : Concentration Camp),1997-10-31,1997.0,646,569,
56,16346,transfer to Auschwitz I (Poland : Concentration Camp),1997-11-05,1997.0,242,226,
57,15166,armament forced labor,1997-03-10,1997.0,402,345,
58,15478,German concentration camps (generic),1997-03-27,1997.0,418,297,
59,13926,Germany 1941 (June 22) - 1945 (May 7),1996-11-21,1996.0,951,295,
60,15585,interviewee memory,1997-04-01,1997.0,133,102,
61,15303,bombardments,1997-03-17,1997.0,674,616,
62,15774,freight trains,1997-06-19,1997.0,2447,2179,
63,13930,Germany 1945 (January 1 - May 7),1996-11-21,1996.0,3921,956,
64,15237,transfer escapes,1997-03-13,1997.0,63,59,
65,15474,transfer from camps,1997-03-27,1997.0,107,101,
66,15232,"transfers, means of transport",1997-03-13,1997.0,2424,2219,
67,16486,beatings,1997-11-19,1997.0,2277,1794,
68,13870,camp punishments,1996-11-14,1996.0,2137,1738,
69,15163,forced labor civilian supervisors,1997-03-10,1997.0,31,25,
70,7805,Gross Rosen (Germany : Concentration Camp),1995-12-08,1995.0,19,8,
71,14231,Poland 1942,1996-12-09,1996.0,7044,503,
72,15773,trains,1997-06-19,1997.0,439,412,
73,16172,transfer from Gross Rosen (Germany : Concentration Camp),1997-07-21,1997.0,25,21,
74,7624,Auschwitz III-Monowitz (Poland : Concentration Camp),1995-12-08,1995.0,15846,793,
75,3991,Block 11 (Auschwitz I),1995-12-08,1995.0,75,64,
76,8991,camp doctors,1995-12-08,1995.0,258,195,
77,4025,camp hospitals,1995-12-08,1995.0,933,700,
78,12110,camp medical care,1996-05-01,1996.0,873,769,
79,16523,medical care provision,1997-11-19,1997.0,230,209,
80,6861,SS/SD personnel,1995-12-08,1995.0,2762,1788,
81,16347,transfer to Auschwitz III-Monowitz (Poland : Concentration Camp),1997-11-05,1997.0,178,167,
82,15337,Holocaust-related psychological reactions,1997-03-19,1997.0,517,430,
83,25359,escape decisions,1998-11-05,1998.0,108,101,
84,6777,Gestapo personnel,1995-12-08,1995.0,74,55,
85,4043,Lagerälteste,1995-12-08,1995.0,253,213,
86,9686,camp medical experiments,1995-12-08,1995.0,687,482,
87,26826,female prisoners,1999-05-05,1999.0,1161,828,
88,26828,handicapped prisoners,1999-05-05,1999.0,16,15,
89,13880,camp escapes,1996-11-14,1996.0,165,134,
90,15293,camp mass executions,1997-03-17,1997.0,493,392,
91,16570,Soviet prisoners of war,1997-11-30,1997.0,109,89,
92,16339,transfer from Auschwitz III-Monowitz (Poland : Concentration Camp),1997-10-31,1997.0,567,507,
93,18505,camp resistance,1998-04-01,1998.0,351,259,
94,15381,resistance group leaders,1997-03-21,1997.0,5,4,
95,15375,resistance groups,1997-03-21,1997.0,13,12,
96,4698,sabotage,1995-12-08,1995.0,91,87,
97,11015,loved ones' renewed contacts,1996-02-07,1996.0,820,721,
98,15584,survival explanations,1997-04-01,1997.0,1140,910,
99,15098,camp housing conditions,1997-02-27,1997.0,2752,2398,
100,15832,transfer to camps,1997-07-09,1997.0,131,116,
101,9252,camp food,1995-12-08,1995.0,4521,3624,
102,11717,Holocaust faith issues,1996-02-16,1996.0,369,341,
103,10698,mass murder awareness,1996-01-17,1996.0,4936,3878,
104,25955,attitudes toward Sweden and/or the Swedes,1998-11-23,1998.0,1,1,
105,11742,post-conflict adaptation,1996-02-16,1996.0,98,93,
106,13903,Sweden 1945 (May 8) - 1974 (December 31),1996-11-20,1996.0,81,17,
107,16451,camp brutal treatment,1997-11-19,1997.0,3064,2314,
108,14225,Poland 1941 (June 21) - 1944 (July 21),1996-12-09,1996.0,9308,758,
109,16481,transfer from Blizyn (Poland : Concentration Camp),1997-11-19,1997.0,32,32,
110,10983,camp first impressions,1996-02-06,1996.0,3269,3061,
111,14276,friends,1996-12-09,1996.0,757,570,
112,15090,camp shoes,1997-02-26,1997.0,740,671,
113,15173,railroad forced labor,1997-03-10,1997.0,77,75,
114,12046,"Sonderkommando Uprising (Auschwitz II-Birkenau, October 7, 1944)",1996-04-12,1996.0,441,394,
115,12288,camp social relations,1996-05-16,1996.0,2338,1649,
116,14293,German camp guards,1996-12-10,1996.0,457,381,
117,13732,camp executions,1996-11-06,1996.0,896,804,
118,16495,hangings,1997-11-19,1997.0,685,653,
119,30863,Russian prisoners,2000-03-15,2000.0,59,50,
120,15583,trauma-related dreams,1997-04-01,1997.0,121,117,
121,18864,"Biebow, Hans",1998-04-05,1998.0,6,6,
122,16103,deportation from Lódz (Poland : Ghetto),1997-07-18,1997.0,223,215,
123,16123,deportation to Auschwitz (Poland : Concentration Camp)(generic),1997-07-21,1997.0,540,515,
124,4889,ghetto liquidations,1995-12-08,1995.0,36,36,
125,8057,"Łódź (Łódź, Poland : Ghetto)",1995-12-08,1995.0,278,114,
126,12754,"Łódź (Łódź, Poland)",1996-09-26,1996.0,296,121,
127,10801,"Rumkowski, Chaim",1996-01-24,1996.0,53,51,
128,13871,camp procedures,1996-11-14,1996.0,1572,1195,
129,14424,prisoner functionaries,1996-12-17,1996.0,358,297,
130,3732,sisters,1995-12-08,1995.0,723,451,
131,15223,"deportations, means of transport",1997-03-13,1997.0,638,611,
132,4038,kapos,1995-12-08,1995.0,967,811,
133,9291,gas chambers,1995-12-08,1995.0,425,351,
134,12497,Austria 1944,1996-09-12,1996.0,175,79,
135,16143,transfer to Mauthausen (Austria : Concentration Camp),1997-07-21,1997.0,326,306,
136,12498,Austria 1945 (January 1 - May 7),1996-09-12,1996.0,443,119,
137,7861,Ebensee (Austria : Concentration Camp),1995-12-08,1995.0,4,3,
138,19821,Ebensee (Austria),1998-04-15,1998.0,4,3,
139,16110,"deportation from Uzhorod (Podkarpatska Rus, Czechoslovakia : Ghetto)",1997-07-18,1997.0,41,36,
140,15188,camp barter,1997-03-11,1997.0,675,597,
141,42862,"Bruntál (Moravia-Silesia, Czechoslovakia)",2002-02-25,2002.0,14,3,
142,7473,Czechoslovakia 1939 (March 15) - 1945 (May 9),1995-12-08,1995.0,82,37,
143,7610,"Freudenthal (Moravia-Silesia, Czechoslovakia : Concentration Camp)",1995-12-08,1995.0,14,3,
144,16993,transfer to Freudenthal (Czechoslovakia : Concentration Camp),1997-12-21,1997.0,16,15,
145,14330,prisoners,1996-12-12,1996.0,446,333,
146,15364,resistance discussions,1997-03-21,1997.0,35,33,
147,37765,rumors,2001-04-11,2001.0,6,6,
148,27802,forced correspondence,1999-08-01,1999.0,108,107,
149,20200,camp covert communications,1998-04-30,1998.0,373,319,
150,15096,camp diseases,1997-02-27,1997.0,1247,1060,
151,19756,hospitals,1998-04-14,1998.0,55,51,
152,27377,medical forced labor,1999-06-30,1999.0,142,99,
153,15107,camp abortions,1997-02-27,1997.0,30,29,
154,18472,camp covert activities,1998-04-01,1998.0,449,355,
155,8989,corpse disposal forced labor,1995-12-08,1995.0,428,296,
156,17214,health deceptions,1998-02-26,1998.0,233,212,
157,32211,transfer from Radom-Szkolna (Poland : Concentration Camp),2000-06-06,2000.0,7,5,
158,15803,transfer routes,1997-06-20,1997.0,519,472,
159,22647,transfer procedures,1998-08-20,1998.0,675,640,
160,22828,camp clothing,1998-08-26,1998.0,1338,1136,
161,15580,shoe importance,1997-04-01,1997.0,102,99,
162,9545,ghetto living conditions,1995-12-08,1995.0,31,30,
163,15167,camp maintenance forced labor,1997-03-10,1997.0,211,185,
164,12161,transfer conditions,1996-05-03,1996.0,1025,972,
165,16171,transfer from Gleiwitz (Germany : Concentration Camp)(generic),1997-07-21,1997.0,62,56,
166,16350,transfer to Nordhausen (Germany : Concentration Camp)(generic),1997-11-05,1997.0,27,26,
167,15893,1944 photographs (stills),1997-07-10,1997.0,27,19,
168,28911,concentration camps (stills),1999-10-29,1999.0,104,76,
169,19596,post-World War II documents and artifacts (stills),1998-04-09,1998.0,82,46,
170,15131,publications (stills),1997-03-06,1997.0,59,31,
171,3242,grandmothers,1995-12-08,1995.0,109,89,
172,15333,attitudes toward perpetrators,1997-03-19,1997.0,81,70,
173,16297,transfer from Auschwitz II-Birkenau (Poland : Death Camp),1997-10-31,1997.0,3811,3545,
174,37830,transfer to Pürschkau (Germany : Concentration Camp),2001-04-23,2001.0,9,9,
175,15775,passenger trains,1997-06-19,1997.0,104,104,
176,15349,survivor reunions,1997-03-19,1997.0,34,33,
177,4289,camp food sharing,1995-12-08,1995.0,705,640,
178,15212,camp menstruation,1997-03-12,1997.0,402,397,
179,11450,Hirschberg (Germany : Concentration Camp),1996-02-08,1996.0,4,2,
180,37247,"Hirschberg (Lower Silesia, Prussia, Germany)",2001-03-02,2001.0,4,2,
181,17016,transfer to Hirschberg (Germany : Concentration Camp),1997-12-22,1997.0,5,5,
182,38840,perpetrator deceptions,2001-06-20,2001.0,479,431,
183,13942,personal property sorting forced labor,1996-11-25,1996.0,779,586,
184,24021,food additives,1998-10-07,1998.0,373,365,
185,15099,camp sanitary conditions,1997-02-27,1997.0,1495,1299,
186,13215,Czechoslovakia 1945 (January 1 - May 9),1996-10-23,1996.0,405,106,
187,15110,perpetrator liberator-approach responses,1997-02-27,1997.0,519,463,
188,7476,Czechoslovakia 1945 (May 10) - 1948 (February 19),1995-12-08,1995.0,145,49,
189,16519,sustenance provision,1997-11-19,1997.0,1237,1013,
190,19597,camp prisoner physical conditions,1998-04-09,1998.0,1236,1005,
191,15338,camp-related psychological reactions,1997-03-19,1997.0,1155,863,
192,15629,deportation food,1997-04-04,1997.0,31,31,
193,15779,trucks,1997-06-19,1997.0,149,144,
194,26399,camp children,1999-02-12,1999.0,953,676,
195,15284,ghetto housing conditions,1997-03-14,1997.0,9,9,
196,16536,hiding (aid giving),1997-11-19,1997.0,235,215,
197,12107,Hungarian prisoners,1996-05-01,1996.0,572,505,
198,16521,shelter provision,1997-11-19,1997.0,54,49,
199,18126,Belsen (Germany),1998-03-30,1998.0,120,78,
200,7531,Bergen-Belsen (Germany : Concentration Camp),1995-12-08,1995.0,119,77,
201,16147,transfer to Bergen-Belsen (Germany : Concentration Camp),1997-07-21,1997.0,484,465,
202,22254,female kapos,1998-07-24,1998.0,402,341,
203,15180,prisoner tattoos,1997-03-10,1997.0,2578,2485,
204,15092,child killings,1997-02-27,1997.0,234,222,
205,18763,transfer to Fallersleben (Germany : Concentration Camp),1998-04-02,1998.0,18,18,
206,39797,World War II family photographs (stills),2001-08-20,2001.0,27,26,
207,17028,transfer to Landsberg (Germany : Concentration Camp),1997-12-22,1997.0,28,27,
208,15434,friendships,1997-03-25,1997.0,186,160,
209,13875,camp hunger,1996-11-14,1996.0,487,457,
210,23825,Lübberstedt (Germany : Concentration Camp),1998-09-25,1998.0,2,1,
211,15472,transfer sanitary conditions,1997-03-27,1997.0,42,42,
212,42859,transfer to Lübberstedt (Germany : Concentration Camp),2002-02-25,2002.0,11,11,
213,2615,camp personnel,1995-12-08,1995.0,196,160,
214,4145,Lagerführer,1995-12-08,1995.0,49,47,
215,11735,survivor guilt,1996-02-16,1996.0,95,92,
216,18985,transfer to Oederan (Germany : Concentration Camp),1998-04-06,1998.0,26,25,
217,26166,transfer guards,1998-12-18,1998.0,125,113,
218,16508,transfer-related aid giving,1997-11-19,1997.0,145,137,
219,14377,Jewish kapos,1996-12-12,1996.0,697,603,
220,3981,camp orchestras,1995-12-08,1995.0,490,441,
221,3977,Block 25 (Auschwitz II-Birkenau),1995-12-08,1995.0,57,52,
222,34358,Czechoslovakia 1944 (March 19) - 1945 (May 9),2000-09-25,2000.0,241,37,
223,15648,camp thirst,1997-04-04,1997.0,214,204,
224,14379,camp childbearing,1996-12-12,1996.0,424,377,
225,12045,age deceptions,1996-04-12,1996.0,382,364,
226,12127,German soldiers,1996-05-02,1996.0,459,396,
227,16277,siblings,1997-10-13,1997.0,79,73,
228,12078,forced labor conditions,1996-04-23,1996.0,766,592,
229,15165,agricultural forced labor,1997-03-10,1997.0,284,220,
230,14870,camp escape attempts,1997-01-27,1997.0,135,129,
231,14927,camp liberation,1997-02-03,1997.0,307,286,
232,12142,Soviet soldiers,1996-05-02,1996.0,294,246,
233,14232,Poland 1943,1996-12-09,1996.0,25035,1584,
234,16471,camp killings,1997-11-19,1997.0,939,786,
235,14983,German kapos,1997-02-04,1997.0,396,329,
236,14984,Polish kapos,1997-02-04,1997.0,385,332,
237,15108,camp stealing,1997-02-27,1997.0,681,597,
238,16574,post-liberation camp/ghetto transition,1997-12-01,1997.0,165,125,
239,29476,Europe 1939 (September 1) - 1945 (May 7),1999-12-06,1999.0,28,5,
240,12345,hiding,1996-06-28,1996.0,54,51,
241,9365,hiding places,1995-12-08,1995.0,43,39,
242,15346,liberation,1997-03-19,1997.0,105,102,
243,15175,military fortification forced labor,1997-03-10,1997.0,112,105,
244,4066,prisoner doctors,1995-12-08,1995.0,364,272,
245,29878,Familienlager Theresienstadt (Auschwitz II-Birkenau),2000-01-10,2000.0,444,180,
246,26469,German camp personnel,1999-03-05,1999.0,417,341,
247,15185,camp sexual assaults,1997-03-10,1997.0,89,77,
248,4227,Jewish prisoners,1995-12-08,1995.0,2028,1322,
249,10695,camp rumors,1996-01-17,1996.0,366,324,
250,7696,Ohrdruf (Germany : Concentration Camp),1995-12-08,1995.0,2,2,
251,57800,"Ohrdruf (Thuringia, Germany)",2003-08-12,2003.0,2,2,
252,59956,"Sachsenhausen (Brandenburg, Prussia, Germany)",2003-12-22,2003.0,15,10,
253,7583,Sachsenhausen (Germany : Concentration Camp),1995-12-08,1995.0,15,10,
254,16175,transfer from Sachsenhausen (Germany : Concentration Camp),1997-07-21,1997.0,12,12,
255,16596,transfer to Ohrdruf (Germany : Concentration Camp),1997-12-04,1997.0,10,10,
256,16155,transfer to Sachsenhausen (Germany : Concentration Camp),1997-07-21,1997.0,76,71,
257,11786,political prisoners,1996-03-08,1996.0,244,195,
258,14303,Yom Kippur,1996-12-10,1996.0,282,272,
259,17048,transfer to Nürnberg (Germany : Concentration Camp),1997-12-22,1997.0,18,18,
260,14223,Poland 1939 (September 1) - 1945 (May 7),1996-12-09,1996.0,4208,402,
261,17202,transfer adaptation methods,1998-02-24,1998.0,117,111,
262,17570,transfer from Wieliczka (Poland : Concentration Camp),1998-03-26,1998.0,5,4,
263,16150,transfer to Flossenbürg (Germany : Concentration Camp),1997-07-21,1997.0,35,33,
264,14262,camp daily services forced labor,1996-12-09,1996.0,1030,863,
265,14326,inter-Jewish relations,1996-12-11,1996.0,94,92,
266,14917,Polish prisoners,1997-01-31,1997.0,926,744,
267,15105,camp suicide attempts,1997-02-27,1997.0,96,93,
