topic_word,cover_term,selections
camp selections,selections,intake camp procedures
camp intake camp procedures,intake camp procedures,transfer
transfer from camps,transfer,living conditions
camp living conditions,living conditions,mass murder awareness
mass murder awareness,mass murder awareness,loved ones' separations
transfer to camps,transfer,food and thirst
loved ones' separations,loved ones' separations,adaptation methods
camp food and thirst,food and thirst,first impressions
camp adaptation methods,adaptation methods,forced labor
camp first impressions,first impressions,Appell
camp forced labor,forced labor,"Mengele, Josef"
camp Appell,Appell,aid giving
"""Mengele, Josef""","Mengele, Josef",tattoo
camp-related aid giving,aid giving,violence
camp housing conditions,living conditions,loved ones' fates
prisoner tattoos (stills),tattoo,family
camp brutal treatment,violence,transportation
prisoner tattoos,tattoo,perpetrators
loved ones' fates,loved ones' fates,social bonds
camp family interactions,family,loved ones' final contacts
extended family members,family,kapos
"transfers, means of transport",transportation,deportation
freight trains,transportation,camp population
beatings,violence,punishments
SS/SD personnel,perpetrators,clothing
camp social relations,social bonds,camp procedures
loved ones' final contacts,loved ones' final contacts,preferential treatment
Blockälteste,kapos,physical condition
deportation to camps,deportation,diseases
Jewish prisoners,camp population,psychological reactions
camp punishments,punishments,food acquisition
camp clothing,clothing,forced marches
camp sanitary conditions,living conditions,warnings
camp camp procedures,camp procedures,crematoria
camp barracks,living conditions,children
preferential treatment,preferential treatment,survival explanations
camp prisoner physical conditions,physical condition,contact
camp diseases,diseases,loved ones' renewed contacts
camp-related psychological reactions,psychological reactions,killings
camp food and thirst acquisition,food acquisition,humiliation
female prisoners,camp population,hiding and evasion
forced marches,forced marches,awareness
transfer camp procedures,transfer,medical care
transfer conditions,transfer,food sharing
warnings,warnings,deceptions
sustenance provision,aid giving,corpses
camp crematoria,crematoria,personal property seizure
camp daily services forced labor,forced labor,friends
camp children,children,stealing
kapos,kapos,deaths
survival explanations,survival explanations,childbearing
prisoner external contact,contact,religion
Roma prisoners,camp population,food additives
loved ones' renewed contacts,loved ones' renewed contacts,loved ones' contacts
camp shoes,clothing,orchestras
camp killings,killings,suicides
Polish prisoners,camp population,barter
camp humiliation,humiliation,death march
camp environmental conditions,living conditions,liberation
camp hiding and evasion,hiding and evasion,camp cultural activities
camp showers,living conditions,bombardments
politico-military event awareness,awareness,covert activities
Jewish kapos,kapos,Holocaust faith issues
camp hospitals,medical care,rumors
camp food and thirst sharing,food sharing,German concentration camps
Jewish prisoner functionaries,kapos,post-conflict experience
perpetrator deceptions,deceptions,liberators
camp corpses,corpses,twins
camp medical care,medical care,time awareness
camp uniforms,clothing,loved ones' togetherness decisions
camp personal property seizure,personal property seizure,tracing loved ones
camp latrines,living conditions,post-conflict activity
friends,friends,bystanders
camp stealing,stealing,attitudes
forced march conditions,forced marches,resistance
camp deaths,deaths,future message
camp childbearing,childbearing,liquidations
camp Jewish religious observances,religion,forced correspondence
deportation from ghettos,deportation,language skills
food and thirst additives,food additives,self-preservation acts
camp executions,killings,camp camp cultural activities
prisoners,camp population,photographs
loved ones' contacts,loved ones' contacts,inter-Jewish relations
Hungarian prisoners,camp population,escapes
camp populations,camp population,International Red Cross
sisters,family,sexual activities
food and thirst additives,food additives,metaphysical experiences
Holocaust-related psychological reactions,psychological reactions,testimony sharing
camp hunger,food and thirst,interviewee memory
camp orchestras,orchestras,Jewish identity
personal property sorting forced labor,forced labor,ghetto experience
German soldiers,perpetrators,military
camp suicides,suicides,camp visitors
camp barter,barter,revenge acts
death marches,death march,betrayals
female kapos,kapos,famous Jewish leaders
age deceptions,deceptions,antisemitism
prisoner functionaries,kapos,protected groups
perpetrator liberator-approach responses,liberation,education
German camp guards,perpetrators,famous personnel
forced labor conditions,forced labor,creative activity
camp medical experiments,medical care,propaganda
German camp personnel,perpetrators,famous non Jewish leaders
"deportations, means of transport",transportation,mass murder
camp quarantines,medical care,medical experiments
camp mass executions,killings,prison experience
camp cultural activities,camp cultural activities,trials
Polish kapos,kapos,businesses
bombardments,bombardments,discussions
hangings,killings,menstruation
camp covert activities,covert activities,collaborators
camp covert communications,covert activities,flight
Holocaust faith issues,Holocaust faith issues,Jewish organizations
camp corpse cremations,corpses,political activities
quarry forced labor,forced labor,
camp rumors,rumors,
deportation conditions,deportation,
deportation awareness,deportation,
German concentration camps (generic),German concentration camps,
camp injuries,diseases,
camp liberation,liberation,
trains,transportation,
camp prisoner marking,tattoo,
gas chambers,mass murder awareness,
male prisoners,camp population,
post-World War II reflections,post-conflict experience,
Yom Kippur,religion,
camp thirst,food and thirst,
shootings,killings,
armament forced labor,forced labor,
Polish prisoner functionaries,kapos,
brothers,family,
Soviet soldiers,liberators,
twins in the camps,twins,
clothing provision,aid giving,
camp Jewish prayers,religion,
deportation experiences,deportation,
Sonderkommando prisoners,camp population,
transfer preparations,transfer,
camp time awareness,time awareness,
Lagerälteste,kapos,
prisoner doctors,medical care,
health deceptions,deceptions,
female prisoner functionaries,kapos,
"""Grese, Irma""",perpetrators,
loved ones' togetherness decisions,loved ones' togetherness decisions,
camp prisoner insignia,tattoo,
Slovak prisoners,camp population,
tracing loved ones,tracing loved ones,
bereavement-related psychological reactions,psychological reactions,
post-conflict persecution site visits,post-conflict activity,
transfer food and thirst,food and thirst,
female camp guards,kapos,
German kapos,kapos,
hiding (aid giving),aid giving,
occupation deceptions,deceptions,
child killings,killings,
