,forced_labor,type
1,camp maintenance forced labor,medium
2,arts-related forced labor,easy
3,railroad forced labor,hard
6,armament forced labor,medium
8,mobile construction crew forced labor,hard
9,shipyard forced labor,hard
10,air raid cleanup forced labor,hard
12,underground construction forced labor,hard
14,factory forced labor,medium
16,translation forced labor,easy
17,gas chamber cleaning forced labor,medium
18,battlefield cleanup forced labor,hard
19,airfield forced labor,hard
21,camp construction forced labor,hard
22,cable-laying forced labor,hard
24,disinfection forced labor,medium
25,camp site destruction forced labor,hard
26,quarry forced labor,hard
27,explosives disposal forced labor,hard
32,forestry forced labor,hard
33,prison daily services forced labor,medium
34,road construction forced labor,hard
35,secretarial forced labor,easy
36,skilled forced labor,easy
37,military fortification forced labor,hard
38,medical forced labor,easy
40,prison forced labor,medium
41,civil maintenance forced labor,medium
42,daily services forced labor,medium
44,waterway maintenance forced labor,hard
45,textiles and garment forced labor,medium
46,counterfeiting forced labor,medium
47,military support forced labor,hard
48,personal services forced labor,medium
49,camp daily services forced labor,medium
53,platform forced labor,hard
54,teeth extraction forced labor,easy
56,mining forced labor,hard
59,fuel production forced labor,hard
60,prisoner hair cutting forced labor,medium
61,tattooing forced labor,medium
64,agricultural forced labor,hard
65,fire-fighting forced labor,hard
66,science/research-related forced labor,easy
68,medical experiment forced labor,easy
69,construction forced labor,hard
72,delousing forced labor,medium
76,personal property sorting forced labor,medium
78,corpse disposal forced labor,hard
