,interview_code,sequences,transcripts_available
0,10,"['topic_1_6', 'topic_6_7_8_15', 'topic_7_10_15', 'topic_7_14_15_21', 'topic_7', 'topic_5']",True
1,10021,"['topic_9_10', 'topic_4']",False
2,10022,"['topic_9_10_11', 'topic_10', 'topic_4', 'topic_1_11', 'topic_10', 'topic_6', 'topic_18', 'topic_6_12', 'topic_6', 'topic_2', 'topic_4']",False
3,10027,"['topic_12', 'topic_12', 'topic_18', 'topic_2_8']",False
4,10038,"['topic_9', 'topic_4', 'topic_1', 'topic_18', 'topic_12', 'topic_6', 'topic_12_18', 'topic_6', 'topic_2']",False
5,10040,"['topic_6', 'topic_4', 'topic_4', 'topic_11', 'topic_7']",False
6,10044,['topic_3'],False
7,10053,"['topic_8', 'topic_10', 'topic_6_9', 'topic_4', 'topic_0_5_21', 'topic_2', 'topic_2']",False
8,1006,"['topic_8', 'topic_4', 'topic_10', 'topic_5_21', 'topic_9', 'topic_4', 'topic_4', 'topic_6', 'topic_1', 'topic_6', 'topic_9', 'topic_5']",False
9,10078,"['topic_10', 'topic_2', 'topic_4', 'topic_3', 'topic_16', 'topic_12', 'topic_12']",False
10,10097,"['topic_4', 'topic_1', 'topic_18', 'topic_5', 'topic_2']",False
11,10107,"['topic_9', 'topic_1']",False
12,10110,"['topic_9', 'topic_3']",False
13,10123,"['topic_2', 'topic_6', 'topic_13', 'topic_9', 'topic_1', 'topic_5', 'topic_6', 'topic_5', 'topic_0_12', 'topic_12', 'topic_12', 'topic_20', 'topic_6', 'topic_9', 'topic_0_18', 'topic_12', 'topic_6', 'topic_1']",False
14,10129,"['topic_10', 'topic_1', 'topic_6']",False
15,10145,"['topic_5_13_17_21', 'topic_13', 'topic_13', 'topic_13']",False
16,10154,"['topic_2_8', 'topic_7', 'topic_7', 'topic_10', 'topic_13']",False
17,10165,"['topic_6_12', 'topic_6']",False
18,10167,['topic_1'],False
19,1017,"['topic_4_10', 'topic_10', 'topic_1_6', 'topic_2']",False
20,10172,"['topic_5', 'topic_10', 'topic_18', 'topic_0_9_17_18_21', 'topic_6', 'topic_10', 'topic_2', 'topic_2']",False
21,102,"['topic_4', 'topic_12', 'topic_6_12', 'topic_12', 'topic_18', 'topic_12', 'topic_6', 'topic_7', 'topic_0', 'topic_6', 'topic_15', 'topic_13']",False
22,10212,"['topic_9_10', 'topic_1', 'topic_18']",False
23,10213,"['topic_3', 'topic_12', 'topic_2', 'topic_6']",False
24,10216,['topic_2'],False
25,10220,"['topic_1', 'topic_12', 'topic_6', 'topic_5', 'topic_4', 'topic_17', 'topic_8', 'topic_2']",False
26,1023,['topic_2_18'],False
27,10243,"['topic_18', 'topic_0_12', 'topic_1_7_10', 'topic_5_12', 'topic_5_12', 'topic_8', 'topic_3', 'topic_2', 'topic_4_8_9', 'topic_1_4_9']",False
28,10249,"['topic_9', 'topic_1', 'topic_2', 'topic_16']",False
