,KeywordID,KeywordLabel,test_stat,p_value,Czechoslovakia (historical),Austria-Hungary (historical),Netherlands,Hungary,Poland,Russia,Romania,France,Italy,Greece,Germany,Ottoman Empire (historical),Belgium,Austria,Union of Soviet Socialist Republics (historical),Lithuania,Danzig (Free City Territory) (historical),Yugoslavia (historical),Sweden,Peru,Bulgaria,Tunisia,Australia,United States of America,Palestine (historical),Algeria,United Kingdom,Switzerland,Turkey,Brazil,Argentina,Morocco
1609,27815,transfer to VÃ¶cklabruck (Austria : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515,15191,hiding-related diseases,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
846,16440,prison suicide attempts,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,10205,Zionist organizations,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2371,74921,transfer to Hohenstein-Ernstthal (Germany : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
878,16484,transfer from Budzyn (Poland : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1772,31971,Jewish child restoration,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,16515,weapons provision,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10616,Audi,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1785,32370,Moroccan kapos,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
763,16139,deportation to Majdanek (Poland : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1711,30363,transfer from Jawischowitz (Poland : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
761,16124,deportation to Mauthausen (Austria : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,10402,prayers,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
898,16512,transfer from Gleiwitz II (Germany : Concentration Camp),2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519,15205,hiding-related food acquisition,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1773,31996,refugee children,2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1686,29837,"Posen (PoznaÅ„, Poland : Concentration Camp)(generic)",2.261994523,1,0,0,0,0,3.261809448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
