,segment_lenght
111,0 days 00:04:20.850000000
119,0 days 00:04:11.140000000
126,0 days 00:03:24.070000000
136,0 days 00:03:21.820000000
141,0 days 00:02:45.060000000
146,0 days 00:06:43.900000000
235,0 days 00:05:06.050000000
245,0 days 00:03:25.960000000
255,0 days 00:01:50.100000000
264,0 days 00:04:54.870000000
280,0 days 00:05:58.920000000
294,0 days 00:03:44.140000000
303,0 days 00:03:58.940000000
306,0 days 00:06:19.940000000
312,0 days 00:06:35.960000000
328,0 days 00:06:31.120000000
335,0 days 00:03:37.010000000
342,0 days 00:07:13.060000000
349,0 days 00:01:52.850000000
355,0 days 00:04:20.200000000
362,0 days 00:03:26.760000000
371,0 days 00:04:12.890000000
376,0 days 00:01:58.160000000
384,0 days 00:01:37.800000000
394,0 days 00:05:07.930000000
400,0 days 00:03:13.850000000
409,0 days 00:03:05.190000000
415,0 days 00:02:59.710000000
422,0 days 00:02:56.040000000
480,0 days 00:04:26.100000000
497,0 days 00:01:31.240000000
646,0 days 00:01:57.180000000
655,0 days 00:03:46.970000000
677,0 days 00:06:14.200000000
686,0 days 00:06:54.980000000
696,0 days 00:04:15.790000000
701,0 days 00:04:05.060000000
709,0 days 00:05:48.200000000
718,0 days 00:02:57.020000000
724,0 days 00:02:30.820000000
879,0 days 00:03:40.810000000
890,0 days 00:03:15.090000000
896,0 days 00:03:28.850000000
900,0 days 00:04:46.990000000
908,0 days 00:05:53.930000000
1085,0 days 00:03:11.190000000
1092,0 days 00:03:13.920000000
1101,0 days 00:04:35.810000000
1108,0 days 00:02:59.000000000
1115,0 days 00:03:35.940000000
1215,0 days 00:07:35.990000000
1230,0 days 00:05:08.970000000
1238,0 days 00:06:27.080000000
1252,0 days 00:02:37.930000000
1258,0 days 00:04:38.020000000
1596,0 days 00:06:03.250000000
1601,0 days 00:04:01.160000000
1607,0 days 00:02:39.860000000
1613,0 days 00:05:18.950000000
2475,0 days 00:03:36.070000000
2530,0 days 00:04:07.950000000
2538,0 days 00:06:04.770000000
2543,0 days 00:05:50.230000000
2551,0 days 00:03:10.960000000
2558,0 days 00:05:52.990000000
2574,0 days 00:06:44.060000000
2581,0 days 00:05:05.740000000
2587,0 days 00:03:49.180000000
2593,0 days 00:02:42.010000000
2600,0 days 00:08:05.810000000
2906,0 days 00:07:38.120000000
2913,0 days 00:02:29.090000000
3036,0 days 00:04:50.970000000
3045,0 days 00:04:43.970000000
3063,0 days 00:05:54.990000000
3070,0 days 00:06:07.180000000
3081,0 days 00:05:13.910000000
3093,0 days 00:04:51.000000000
3098,0 days 00:06:59.020000000
3107,0 days 00:04:57.960000000
3113,0 days 00:08:22.970000000
3117,0 days 00:04:34.110000000
3817,0 days 00:04:39.870000000
3832,0 days 00:05:30.950000000
3841,0 days 00:03:29.090000000
3848,0 days 00:02:20.150000000
3861,0 days 00:04:14.160000000
3873,0 days 00:03:56.090000000
3879,0 days 00:03:46.000000000
4041,0 days 00:06:38.820000000
4048,0 days 00:05:44.190000000
4060,0 days 00:04:16.180000000
4067,0 days 00:04:04.860000000
4076,0 days 00:03:47.970000000
4084,0 days 00:04:12.200000000
4098,0 days 00:03:14.160000000
4109,0 days 00:03:49.830000000
4119,0 days 00:04:54.140000000
4128,0 days 00:02:59.830000000
4134,0 days 00:02:38.100000000
4143,0 days 00:02:27.870000000
4157,0 days 00:05:20.020000000
4174,0 days 00:02:35.960000000
4182,0 days 00:04:28.830000000
4189,0 days 00:04:21.020000000
4290,0 days 00:01:20.840000000
4299,0 days 00:03:14.900000000
5138,0 days 00:04:26.130000000
5152,0 days 00:02:32.950000000
5158,0 days 00:02:49.850000000
5164,0 days 00:04:15.070000000
5937,0 days 00:03:56.030000000
5944,0 days 00:01:03.890000000
5955,0 days 00:03:20.950000000
5961,0 days 00:03:00.900000000
5967,0 days 00:03:37.020000000
5975,0 days 00:03:40.820000000
5985,0 days 00:03:46.240000000
5995,0 days 00:03:11.920000000
6006,0 days 00:03:43.950000000
6017,0 days 00:02:45.100000000
6028,0 days 00:03:12.870000000
6047,0 days 00:04:22.890000000
6059,0 days 00:05:03.150000000
6069,0 days 00:03:31.860000000
6080,0 days 00:03:24.010000000
6092,0 days 00:04:49.050000000
6101,0 days 00:03:04.940000000
6113,0 days 00:02:28.030000000
6129,0 days 00:04:39.020000000
6141,0 days 00:09:52.160000000
8455,0 days 00:03:40.820000000
8462,0 days 00:05:53.150000000
8471,0 days 00:02:51.940000000
8485,0 days 00:04:51.000000000
8491,0 days 00:08:39.030000000
8498,0 days 00:03:06.860000000
8505,0 days 00:03:47.990000000
8511,0 days 00:05:08.180000000
8520,0 days 00:02:55.940000000
8533,0 days 00:03:50.950000000
8750,0 days 00:01:49.850000000
8772,0 days 00:03:15.060000000
8781,0 days 00:05:40.870000000
8790,0 days 00:03:41.150000000
8798,0 days 00:04:24.050000000
8811,0 days 00:03:42.000000000
8816,0 days 00:02:53.060000000
8823,0 days 00:06:10.140000000
8843,0 days 00:01:46.110000000
8850,0 days 00:00:39.890000000
8856,0 days 00:00:24.190000000
8860,0 days 00:00:25.080000000
8866,0 days 00:00:48.770000000
8870,0 days 00:00:52.120000000
8877,0 days 00:00:44.880000000
8883,0 days 00:00:05.140000000
8887,0 days 00:00:13.000000000
8891,0 days 00:00:10.020000000
8896,0 days 00:00:33.000000000
8899,0 days 00:00:31.860000000
8905,0 days 00:00:16.220000000
8910,0 days 00:00:32.810000000
8916,0 days 00:00:16.170000000
8920,0 days 00:00:22.890000000
8925,0 days 00:00:20.920000000
8929,0 days 00:00:22.960000000
8932,0 days 00:00:51.970000000
8935,0 days 00:00:18.250000000
8941,0 days 00:00:13.800000000
8945,0 days 00:00:09.040000000
8949,0 days 00:00:39.070000000
8953,0 days 00:00:28.040000000
8958,0 days 00:00:22.920000000
8962,0 days 00:00:07.090000000
8968,0 days 00:00:25.000000000
8972,0 days 00:00:10.040000000
8976,0 days 00:00:46.800000000
8982,0 days 00:00:12.970000000
8987,0 days 00:00:15.740000000
8992,0 days 00:00:05.270000000
8996,0 days 00:00:43.740000000
9001,0 days 00:00:21.200000000
9089,0 days 00:05:53.760000000
9109,0 days 00:06:30.870000000
9119,0 days 00:04:55.870000000
9128,0 days 00:06:13.280000000
9606,0 days 00:03:36.030000000
9748,0 days 00:05:15.990000000
9759,0 days 00:03:48.870000000
9879,0 days 00:04:34.010000000
9889,0 days 00:03:48.980000000
11039,0 days 00:06:56.100000000
11051,0 days 00:04:03.920000000
12874,0 days 00:04:29.980000000
13205,0 days 00:06:22.930000000
13213,0 days 00:04:48.030000000
13218,0 days 00:05:25.040000000
13225,0 days 00:02:44.970000000
13240,0 days 00:06:38.750000000
16476,0 days 00:05:31.070000000
16485,0 days 00:05:36.930000000
16500,0 days 00:02:33.900000000
16505,0 days 00:06:17.170000000
16512,0 days 00:03:38.930000000
16522,0 days 00:10:03.030000000
16543,0 days 00:08:21.920000000
16554,0 days 00:05:02.160000000
16569,0 days 00:08:56.050000000
16583,0 days 00:12:38.950000000
16596,0 days 00:04:36.990000000
16615,0 days 00:05:47.020000000
16629,0 days 00:02:58.960000000
16642,0 days 00:05:25.260000000
16655,0 days 00:04:16.840000000
16666,0 days 00:11:13.170000000
18372,0 days 00:05:28.210000000
18379,0 days 00:04:25.720000000
18386,0 days 00:03:26.250000000
18400,0 days 00:01:19.950000000
18404,0 days 00:01:52.820000000
18805,0 days 00:04:20.010000000
21408,0 days 00:03:41.870000000
21424,0 days 00:05:01.890000000
21430,0 days 00:04:38.140000000
21437,0 days 00:03:06.130000000
22598,0 days 00:05:51.110000000
22605,0 days 00:04:26.860000000
22617,0 days 00:04:14.800000000
22623,0 days 00:05:27.990000000
22630,0 days 00:05:26.220000000
22638,0 days 00:05:16.900000000
22646,0 days 00:02:53.920000000
22651,0 days 00:03:43.220000000
22662,0 days 00:05:26.950000000
22668,0 days 00:04:50.140000000
22675,0 days 00:04:00.790000000
24470,0 days 00:06:17.060000000
24484,0 days 00:03:19.890000000
24490,0 days 00:08:10.970000000
24878,0 days 00:03:45.200000000
24905,0 days 00:04:53.920000000
24919,0 days 00:05:08.120000000
24950,0 days 00:05:33.910000000
24965,0 days 00:03:13.040000000
24976,0 days 00:02:26.930000000
24984,0 days 00:05:13.860000000
24994,0 days 00:05:19.190000000
25122,0 days 00:03:45.930000000
25126,0 days 00:03:11.160000000
25960,0 days 00:04:13.160000000
25966,0 days 00:05:39.900000000
25971,0 days 00:05:28.840000000
25985,0 days 00:02:59.180000000
25993,0 days 00:04:42.020000000
26001,0 days 00:02:19.070000000
26006,0 days 00:03:10.850000000
28528,0 days 00:02:54.010000000
28540,0 days 00:01:11.930000000
28544,0 days 00:03:29.860000000
28551,0 days 00:04:40.100000000
28558,0 days 00:02:54.840000000
28567,0 days 00:04:20.980000000
28577,0 days 00:03:58.730000000
28588,0 days 00:06:18.180000000
28596,0 days 00:03:34.820000000
28603,0 days 00:04:27.000000000
28614,0 days 00:06:03.010000000
28621,0 days 00:04:13.080000000
28626,0 days 00:04:45.760000000
28630,0 days 00:04:55.110000000
28635,0 days 00:05:26.950000000
29181,0 days 00:03:31.030000000
31212,0 days 00:05:13.950000000
31219,0 days 00:03:50.940000000
31226,0 days 00:05:13.100000000
31231,0 days 00:03:38.860000000
31236,0 days 00:03:54.050000000
31241,0 days 00:03:16.060000000
31256,0 days 00:04:37.940000000
31263,0 days 00:02:21.980000000
31267,0 days 00:03:32.930000000
31274,0 days 00:04:17.940000000
32254,0 days 00:06:34.240000000
32268,0 days 00:05:35.890000000
32283,0 days 00:03:11.040000000
32288,0 days 00:03:02.050000000
32300,0 days 00:04:43.040000000
33193,0 days 00:04:46.030000000
33203,0 days 00:01:03.020000000
33219,0 days 00:05:08.990000000
33227,0 days 00:02:44.950000000
33231,0 days 00:02:24.090000000
33242,0 days 00:03:27.010000000
33248,0 days 00:03:51.980000000
33366,0 days 00:04:40.850000000
33373,0 days 00:05:52.240000000
33389,0 days 00:02:57.030000000
33395,0 days 00:05:06.910000000
33401,0 days 00:03:27.880000000
33408,0 days 00:05:52.010000000
33419,0 days 00:05:34.140000000
34419,0 days 00:04:07.190000000
34431,0 days 00:04:38.010000000
34435,0 days 00:04:48.920000000
34442,0 days 00:03:35.950000000
37300,0 days 00:03:24.860000000
37320,0 days 00:02:30.830000000
37327,0 days 00:02:44.950000000
37990,0 days 00:04:14.920000000
