,topic_name,stationary_prob
0,camp selections,0.07668960610955669
1,camp intake procedures,0.060926463554440285
2,camp living conditions,0.04089716868630267
3,mass murder awareness,0.031131855168565103
4,camp food,0.030110783987253285
5,camp adaptation methods,0.023298341175153905
6,loved ones' separations,0.022468463474617867
7,camp Appell,0.021958566026836407
8,camp first impressions,0.021911774306910305
9,camp forced labor,0.020423985161487093
10,camp housing conditions,0.018935772278832797
11,transfer from camps,0.01888830243481699
12,"Mengele, Josef",0.01677124606607947
13,transfer to camps,0.015094644638272764
14,camp family interactions,0.014110215762142967
15,loved ones' fates,0.013825236147668313
16,camp-related aid giving,0.013645717938145044
17,prisoner tattoos (stills),0.01327333290050563
18,extended family members,0.012831975492032308
19,camp social relations,0.011645660021410114
20,prisoner tattoos,0.010415176869702112
21,camp brutal treatment,0.010143358288644575
22,Blockälteste,0.009408984994035814
23,loved ones' final contacts,0.009065753984711713
24,camp sanitary conditions,0.008888627574111766
25,SS/SD personnel,0.008800443394199687
26,camp procedures,0.008753010699532255
27,camp clothing,0.008444801492785094
28,camp barracks,0.007327577820494299
29,deportation to camps,0.0073175609119353205
30,Jewish prisoners,0.006655962686120713
31,camp punishments,0.006643860730666661
32,camp-related psychological reactions,0.006599002990238917
33,beatings,0.006354743883967644
34,camp prisoner physical conditions,0.0057433671909188
35,camp diseases,0.004969530230274549
36,camp food acquisition,0.004941990447681886
37,transfer procedures,0.004920806514366917
38,camp crematoria,0.004877720447992118
39,camp children,0.004835903694471674
40,survival explanations,0.004739668490944154
41,"transfers, means of transport",0.004730618934958266
42,freight trains,0.004635838230606498
43,Roma prisoners,0.004601947466256904
44,politico-military event awareness,0.004227786441800958
45,loved ones' renewed contacts,0.004116073771768847
46,preferential treatment,0.004114781163342573
47,kapos,0.004018869843157361
48,camp hiding and evasion,0.003962651624635398
49,female prisoners,0.003772888334329665
50,camp shoes,0.0034619215953312532
51,camp humiliation,0.0034477031120580307
52,prisoner external contact,0.003399688056182074
53,forced marches,0.003320154083791435
54,camp environmental conditions,0.0033061664561187623
55,camp corpses,0.0032606675895035016
56,camp daily services forced labor,0.0032351592764150194
57,sisters,0.0031695961996018175
58,camp childbearing,0.0031561541370940236
59,sustenance provision,0.003126075973658929
60,camp killings,0.003067391480930496
61,camp populations,0.003034889168285202
62,camp showers,0.0030297356502075852
63,camp latrines,0.003006617575523391
64,camp hospitals,0.002992208694751002
65,transfer conditions,0.0029524257976387656
66,camp medical care,0.0029319810214372107
67,camp uniforms,0.0029292776130010042
68,camp food sharing,0.0029147979782638083
69,friends,0.0028806449051954094
70,Holocaust-related psychological reactions,0.0028352312035418506
71,camp medical experiments,0.0027752373290843855
72,Jewish kapos,0.002751868507911195
73,camp menstruation,0.002740451591775399
74,warnings,0.002733794156934049
75,Polish prisoners,0.0026996400735700993
76,camp suicides,0.002642095299509375
77,food additives,0.002593535660490027
78,camp orchestras,0.00252094880214319
79,camp hunger,0.002513204248953
80,camp deaths,0.002502108095275187
