,topic_name,stationary_prob
0,World War II documents and artifacts (stills),0.10958511802949804
1,camp and prison artifacts (stills),0.08901373473734406
2,fine arts (stills),0.07360814178044953
3,post-World War II documents and artifacts (stills),0.06624842017087541
4,World War II-era photographs (stills),0.04908811922292042
5,camp selections,0.046154137525528785
6,camp adaptation methods,0.04157106450033835
7,camp intake procedures,0.035059196704351536
8,clothing (stills),0.023154278459234783
9,photographs (stills),0.022534776964061677
10,camp first impressions,0.020348494117165737
11,1940s documents and artifacts (stills),0.01615292813244519
12,camp-related aid giving,0.015039105573153
13,Lagerälteste,0.013425810560184622
14,camp mass executions,0.012953809559553634
15,camp Appell,0.012778994178209848
16,camp hospitals,0.012726549621577182
17,mass murder awareness,0.011983584842041657
18,prisoner doctors,0.010742396688575842
19,kapos,0.010719087925757171
20,loved ones' fates,0.010456865079845262
21,camp covert activities,0.009964468790741976
22,camp punishments,0.009898913093402715
23,camp food,0.009702245925708107
24,transfer from camps,0.009660207042102457
25,transfer to camps,0.00966020704210243
26,camp barracks,0.009440023060433308
27,loved ones' deaths,0.009440023060433272
28,German concentration camps (generic),0.008950956628344147
29,camp family interactions,0.008583428444169223
30,"Mengele, Josef",0.00795409358096795
31,famous German Nazi politicians and diplomats,0.007948630422517767
32,documents and artifacts (stills),0.007948630422517759
33,people (stills) ,0.007945352642273359
34,famous writers and publishers,0.007938797069128046
35,1970s documents and artifacts (stills),0.007744315151458646
36,currency (stills) ,0.007683129779486975
37,preferential treatment,0.006840270699176829
38,camp living conditions,0.006503127029255506
39,camp housing conditions,0.006450682442105384
40,camp personal property seizure,0.006188459573842355
41,1960s documents and artifacts (stills),0.0054891985278383276
42,camp medical care,0.005340605664175663
43,camp brutal treatment,0.005314383355579591
44,famous Jewish resistance fighters,0.005209494143872968
45,objects (stills) ,0.005205123761680382
46,SS/SD personnel,0.005139568109686778
47,camp forced labor,0.005075885435894333
48,"transfers, means of transport",0.004940195507641219
49,freight trains,0.004940195507641205
50,camp rumors,0.004405344158759217
51,prisoners,0.004361640308984219
52,famous Hungarian politicians and diplomats,0.004051343180295513
53,loved ones' final contacts,0.003933342894517582
54,publications (stills),0.0038972872517222396
55,resistance discussions,0.0034875640846174926
56,rumors,0.003487564084617484
57,Blockälteste,0.0031466743598110862
58,camp abortions,0.0031117113391072758
59,extended family members,0.003111711339107271
60,loved ones' renewed contacts,0.002849488488271063
61,camp doctors,0.0028494884882710615
62,forced labor conditions,0.0027533400771353558
63,German camp personnel,0.002587265596540273
64,German soldiers,0.002322545368258963
65,sustenance provision,0.002322545368258963
66,railroad forced labor,0.002322545368258961
67,famous Polish resistance fighters,0.0022551166331203055
68,forced march conditions,0.0020977829176703306
69,survival,0.0020977829176703306
70,forced marches,0.00209778291767033
71,food and eating,0.0020977829176703293
72,famous SS (Schutzstaffel) personnel,0.0017918562427549738
73,forced march routes,0.001791856242754967
74,occupation deceptions,0.0017772882937794707
75,friendships,0.0013810404327334537
76,Hungarian prisoners,0.0013810404327334537
77,female prisoners,0.0013810404327334518
78,camp sexual assaults,0.0013810404327334511
79,Jewish prisoners,0.0013810404327334507
80,passenger trains,0.0013710509901067535
81,prisoner functionaries,0.0010751137478403228
82,loved ones' separations,0.0010751137478403198
83,trauma-related dreams,0.001048891512368979
84,hangings,0.00019666716375298993
85,Russian prisoners,0.00019666716375298985
86,camp executions,0.00019666716375298974
87,beatings,0.00017481525539281195
88,German camp guards,0.00017481525539281173
89,camp social relations,0.0001311114417250903
90,camp shoes,9.499988163702e-12
91,camp medical experiments,9.499988163702e-12
92,camp experiences,9.499988163701997e-12
93,age deceptions,9.499988163701994e-12
94,Soviet armed forces,9.499988163701994e-12
95,mass execution coverups,9.499988163701994e-12
96,camp commandants,9.499988163701994e-12
97,Slovak prisoners,9.499988163701994e-12
98,forced labor,9.49998816370199e-12
99,tracing loved ones,9.49998816370199e-12
100,camp covert economic activities,9.499988163701989e-12
101,International Red Cross,9.499988163701989e-12
102,childbearing,9.499988163701989e-12
103,gas chambers,9.499988163701989e-12
104,Allied armed forces,9.499988163701989e-12
105,Polish armed forces,9.499988163701989e-12
106,United States armed forces,9.499988163701986e-12
107,1920s photographs (stills),9.499988163701986e-12
108,political police,9.499988163701986e-12
109,begging,9.499988163701986e-12
110,Roma prisoners,9.499988163701986e-12
111,forced march executions,9.499988163701986e-12
112,Shabbat,9.499988163701986e-12
113,medical care provision,9.499988163701986e-12
114,ghetto food,9.499988163701986e-12
115,political prisoners,9.499988163701986e-12
116,non-Jewish kapos,9.499988163701986e-12
117,survivor reunions,9.499988163701986e-12
118,male homosexual prisoners,9.499988163701986e-12
119,Armia Krajowa,9.499988163701986e-12
120,death marches,9.499988163701986e-12
121,Yom Kippur,9.499988163701984e-12
122,underground publications,9.499988163701984e-12
123,Roma life,9.499988163701984e-12
124,Holocaust testimony sharing reluctance,9.499988163701984e-12
125,aid recipients,9.499988163701984e-12
126,Gestapo personnel,9.499988163701984e-12
127,resistance groups,9.499988163701984e-12
128,Siemens (firm),9.499988163701984e-12
129,Tisha be-Av,9.499988163701984e-12
130,criminal kapos,9.499988163701984e-12
131,escape assistance,9.499988163701984e-12
132,temporary identity concealment,9.499988163701984e-12
133,epidemics,9.499988163701984e-12
134,coerced sexual activities,9.499988163701983e-12
135,identification papers,9.499988163701983e-12
136,infestations,9.499988163701983e-12
137,hospitals,9.499988163701983e-12
138,camp sterilization medical experiments,9.499988163701983e-12
139,prisoner hair cutting forced labor,9.499988163701983e-12
140,hiding places,9.499988163701983e-12
141,danger misconceptions,9.499988163701983e-12
142,1950s photographs (stills),9.499988163701983e-12
143,prisoners of war,9.499988163701983e-12
144,Christmas,9.499988163701983e-12
145,identity concealment (aid giving),9.499988163701983e-12
146,criminal prisoner functionaries,9.499988163701983e-12
147,camp Jewish religious observances,9.499988163701983e-12
148,famous Soviet military personnel,9.499988163701983e-12
149,trucks,9.49998816370198e-12
150,transfer-related aid giving,9.49998816370198e-12
151,roundups,9.49998816370198e-12
152,refugee children transports,9.49998816370198e-12
153,education,9.49998816370198e-12
154,1940s photographs (stills),9.49998816370198e-12
155,civilian aid givers,9.49998816370198e-12
156,camp procedures,9.49998816370198e-12
157,1950s documents and artifacts (stills),9.49998816370198e-12
158,Slovak prisoner functionaries,9.49998816370198e-12
159,"deportations, means of transport",9.49998816370198e-12
160,clothing provision,9.49998816370198e-12
161,migration from Poland,9.49998816370198e-12
162,ghetto adaptation methods,9.49998816370198e-12
163,weddings (stills),9.49998816370198e-12
164,transfer corpses,9.49998816370198e-12
165,transfer food acquisition,9.49998816370198e-12
166,Soviet resistance groups,9.49998816370198e-12
167,censorship,9.49998816370198e-12
168,armament forced labor,9.49998816370198e-12
169,camp hiding and evasion,9.49998816370198e-12
170,camp diseases,9.49998816370198e-12
171,political prisoner functionaries,9.49998816370198e-12
172,Czechoslovak kapos,9.49998816370198e-12
173,Hungarian kapos,9.49998816370198e-12
174,ghetto procedures,9.49998816370198e-12
175,Italian armed forces,9.49998816370198e-12
176,suicide decisions,9.49998816370198e-12
177,arts-related forced labor,9.49998816370198e-12
178,Zionism,9.49998816370198e-12
179,future message,9.49998816370198e-12
180,displaced persons camps (generic),9.49998816370198e-12
181,post-conflict family home returns,9.49998816370198e-12
182,forced labor personnel,9.49998816370198e-12
183,escape attempts,9.49998816370198e-12
184,transfer conditions,9.49998816370198e-12
185,Greek prisoners,9.49998816370198e-12
186,living conditions,9.49998816370198e-12
187,hiding,9.49998816370198e-12
188,deportation awareness,9.49998816370198e-12
189,ghettoization,9.49998816370198e-12
190,Christian clergy and monastics,9.49998816370198e-12
191,deportation conditions,9.49998816370198e-12
192,camp personnel,9.49998816370198e-12
193,brothers,9.49998816370198e-12
194,German (language),9.49998816370198e-12
195,Judenräte,9.49998816370198e-12
196,camp latrines,9.49998816370198e-12
197,suicides,9.499988163701976e-12
198,medical experiments,9.499988163701976e-12
199,Jehovah's Witness religious observances,9.499988163701976e-12
200,Dutch prisoners,9.499988163701976e-12
201,Soviet concentration camps (generic),9.499988163701976e-12
202,Jewish religious observances (stills),9.499988163701976e-12
203,British prisoners of war,9.499988163701976e-12
204,children,9.499988163701976e-12
205,famous fine artists,9.499988163701976e-12
206,escape decisions,9.499988163701976e-12
207,communities,9.499988163701976e-12
208,Czech prisoners,9.499988163701976e-12
209,refugee camps (generic) ,9.499988163701976e-12
210,medical personnel,9.499988163701976e-12
211,ghettos (stills),9.499988163701976e-12
212,ghetto diseases,9.499988163701976e-12
213,memorials and museums,9.499988163701976e-12
214,writing,9.499988163701976e-12
215,politics,9.499988163701976e-12
216,forced labor battalion experiences,9.499988163701976e-12
217,camp suicides,9.499988163701976e-12
218,non-Jewish prisoners,9.499988163701976e-12
219,escapee capture,9.499988163701976e-12
220,famous Christian religious leaders,9.499988163701976e-12
221,flight from countries,9.499988163701976e-12
222,internment camps (generic),9.499988163701976e-12
223,famous Jewish religious leaders,9.499988163701976e-12
224,migration to countries,9.499988163701973e-12
225,United States soldiers,9.499988163701973e-12
226,language skills,9.499988163701973e-12
227,Jewish holiday awareness,9.499988163701973e-12
228,1960s photographs (stills),9.499988163701973e-12
229,fascist political parties,9.499988163701973e-12
230,Christian religious texts,9.499988163701973e-12
231,famous war crimes trial participants,9.499988163701973e-12
232,camp food acquisition,9.499988163701973e-12
233,testimony-sharing motivations,9.499988163701973e-12
234,escape discussions,9.499988163701973e-12
235,Jewish identity,9.499988163701973e-12
236,rescue transports,9.499988163701973e-12
237,adaptation methods,9.499988163701973e-12
238,forced labor companies,9.499988163701973e-12
239,housing conditions,9.499988163701973e-12
240,forced march liberation,9.499988163701973e-12
241,deportation to camps,9.499988163701973e-12
242,transfer brutal treatment,9.499988163701973e-12
243,paramilitary organizations,9.499988163701973e-12
244,youth organizations,9.499988163701973e-12
245,captivity,9.499988163701973e-12
246,dysentery,9.499988163701973e-12
247,ghetto escapes,9.499988163701973e-12
248,Jewish religious observances,9.499988163701973e-12
249,female kapos,9.499988163701973e-12
250,child deaths,9.499988163701973e-12
251,creative works,9.499988163701973e-12
252,forced march clothing,9.499988163701973e-12
253,liberation physical condition,9.499988163701973e-12
254,Rosh Ha-Shana,9.499988163701973e-12
255,trial procedures,9.499988163701973e-12
256,military operations,9.499988163701973e-12
257,electrocutions,9.499988163701973e-12
258,inter-prisoner behavioral conduct,9.499988163701973e-12
259,politico-military event awareness,9.499988163701973e-12
260,schools,9.499988163701973e-12
261,suicide attempts,9.499988163701973e-12
262,working life,9.499988163701973e-12
263,camp corpse disposal,9.499988163701971e-12
264,prison covert activities,9.499988163701971e-12
265,sexual assault fears,9.499988163701971e-12
266,non-violent resistance,9.499988163701971e-12
267,forced march corpses,9.499988163701971e-12
268,restitution,9.499988163701971e-12
269,personal papers (stills) ,9.499988163701971e-12
270,camp covert communications,9.499988163701971e-12
271,rabbis,9.499988163701971e-12
272,"Zimetbaum, Mala",9.499988163701971e-12
273,police and security forces,9.499988163701971e-12
274,camp barter,9.499988163701971e-12
275,Polish prisoner functionaries,9.499988163701971e-12
276,prison suicides,9.499988163701971e-12
277,shootings,9.499988163701971e-12
278,typhus,9.499988163701971e-12
279,Holocaust testimony sharing willingness,9.499988163701971e-12
280,deportation experiences,9.499988163701971e-12
281,transfer procedures,9.499988163701971e-12
282,humiliation,9.499988163701971e-12
283,Christianity,9.499988163701971e-12
284,businesses,9.499988163701971e-12
285,forced march food,9.499988163701971e-12
286,displaced persons camp experiences,9.499988163701971e-12
287,camp thirst,9.499988163701971e-12
288,personal services forced labor,9.499988163701971e-12
289,camp childbearing,9.499988163701971e-12
290,Jewish dietary laws,9.499988163701971e-12
291,camp sexual activities,9.499988163701971e-12
292,sexual assaults,9.499988163701971e-12
293,camp Jewish religious texts,9.499988163701971e-12
294,survivor organizations,9.499988163701971e-12
295,camp begging,9.499988163701971e-12
296,Romanian prisoners,9.499988163701971e-12
297,camp liquidations,9.499988163701971e-12
298,camp stealing,9.499988163701971e-12
299,U.S. prisoners of war,9.499988163701971e-12
300,quarry forced labor,9.499988163701971e-12
301,child killings,9.499988163701971e-12
302,political ideologies,9.49998816370197e-12
303,friends,9.49998816370197e-12
304,Jewish persecution awareness,9.49998816370197e-12
305,national holidays and memorial days,9.49998816370197e-12
306,Holocaust- and tolerance education centers,9.49998816370197e-12
307,fine arts,9.49998816370197e-12
308,eugenics measures,9.49998816370197e-12
309,camp injuries,9.49998816370197e-12
310,nationalist political parties,9.49998816370197e-12
311,twins in the camps,9.49998816370197e-12
312,perpetrator deceptions,9.49998816370197e-12
313,Jewish religious beliefs,9.49998816370197e-12
314,antisemitism,9.49998816370197e-12
315,German prisoner functionaries,9.49998816370197e-12
316,restricted housing,9.49998816370197e-12
317,camp food sharing,9.49998816370197e-12
318,Polish kapos,9.49998816370197e-12
319,aid organizations,9.49998816370197e-12
320,1970s photographs (stills),9.49998816370197e-12
321,camp education,9.49998816370197e-12
322,prison procedures,9.49998816370197e-12
323,menstruation,9.49998816370197e-12
324,prisoner tattoos (stills),9.49998816370197e-12
325,intergenerational genocide impact,9.49998816370197e-12
326,ghetto brutal treatment,9.49998816370197e-12
327,German prisoners,9.49998816370197e-12
328,famous child care-givers,9.49998816370197e-12
329,survival explanations,9.49998816370197e-12
330,post-conflict recovery,9.49998816370197e-12
331,prisoner identification numbers,9.49998816370197e-12
332,post-conflict searches,9.49998816370197e-12
333,deportation from cities,9.49998816370197e-12
334,activities (stills) ,9.49998816370197e-12
335,refugee organizations,9.49998816370197e-12
336,famous Zionist leaders,9.49998816370197e-12
337,camp resistance,9.49998816370197e-12
338,betrayals,9.49998816370197e-12
339,textiles and garment forced labor,9.49998816370197e-12
340,prisoner external contact,9.49998816370197e-12
341,camp deaths,9.49998816370197e-12
342,executions and killings,9.49998816370197e-12
343,Hasidic rebbes,9.49998816370197e-12
344,refugee camp experiences,9.49998816370197e-12
345,ghetto living conditions,9.499988163701968e-12
346,self-preservation acts,9.499988163701968e-12
347,liberation-related aid giving,9.499988163701968e-12
348,deaths,9.499988163701968e-12
349,languages,9.499988163701968e-12
350,war crimes trials,9.499988163701968e-12
351,post-conflict return visits,9.499988163701968e-12
352,famous camp escapees,9.499988163701968e-12
353,forced march shoes,9.499988163701968e-12
354,transfer food,9.499988163701968e-12
355,camp prayers,9.499988163701968e-12
356,sports organizations,9.499988163701968e-12
357,escape preparations,9.499988163701968e-12
358,prison escapes,9.499988163701968e-12
359,construction forced labor,9.499988163701968e-12
360,forced march food acquisition,9.499988163701968e-12
361,Jewish organizations,9.499988163701968e-12
362,post-conflict return journeys,9.499988163701968e-12
363,post-World War II reflections,9.499988163701968e-12
364,famous United States military personnel,9.499988163701968e-12
365,religious converts,9.499988163701968e-12
