,interview_code,sequences,transcripts_available
0,10000,"['topic_4', 'topic_1', 'topic_8']",False
1,10004,['topic_5'],False
2,10006,"['topic_6_9', 'topic_9_10', 'topic_4', 'topic_1', 'topic_1', 'topic_5', 'topic_6', 'topic_2']",False
3,10008,"['topic_9_10', 'topic_4', 'topic_5', 'topic_10', 'topic_2']",False
4,1001,"['topic_10', 'topic_3']",False
5,10013,"['topic_9_17_21', 'topic_5', 'topic_7_10', 'topic_0_7_17_21', 'topic_17_21', 'topic_6_11', 'topic_6', 'topic_0', 'topic_6_7', 'topic_0_10_12', 'topic_9_17_21', 'topic_18', 'topic_20', 'topic_21', 'topic_0']",False
6,10017,"['topic_2', 'topic_4_10', 'topic_10', 'topic_6']",False
7,10018,"['topic_4', 'topic_1']",False
8,1002,"['topic_20', 'topic_0', 'topic_17_21', 'topic_9', 'topic_8', 'topic_6', 'topic_2']",False
9,10030,"['topic_18', 'topic_9', 'topic_5_20', 'topic_6_10', 'topic_2', 'topic_4', 'topic_3', 'topic_5', 'topic_14']",True
10,10031,"['topic_4', 'topic_0', 'topic_1', 'topic_12', 'topic_1']",False
11,10034,"['topic_8', 'topic_4', 'topic_12', 'topic_6', 'topic_7', 'topic_9']",False
12,10035,"['topic_6', 'topic_15', 'topic_7', 'topic_8', 'topic_6', 'topic_6_9_10', 'topic_4', 'topic_5', 'topic_20_21', 'topic_21', 'topic_14', 'topic_12', 'topic_21', 'topic_13', 'topic_5_10_21']",False
13,10036,['topic_9'],False
14,1004,"['topic_12', 'topic_15', 'topic_10', 'topic_12', 'topic_15']",False
15,10045,"['topic_7', 'topic_9', 'topic_1']",False
16,10049,"['topic_9_10', 'topic_4', 'topic_6', 'topic_2']",False
17,10057,['topic_1'],False
18,10058,"['topic_21', 'topic_10', 'topic_21', 'topic_10']",False
19,10059,"['topic_10', 'topic_4', 'topic_1', 'topic_9', 'topic_0', 'topic_18', 'topic_6', 'topic_10', 'topic_10', 'topic_2']",False
20,10062,"['topic_4_10', 'topic_18', 'topic_1', 'topic_12', 'topic_3', 'topic_10', 'topic_12', 'topic_21', 'topic_1', 'topic_6', 'topic_7', 'topic_2', 'topic_5']",False
21,1007,"['topic_4', 'topic_1', 'topic_6', 'topic_9', 'topic_8']",False
22,10073,"['topic_1', 'topic_18']",False
23,10077,"['topic_8', 'topic_10', 'topic_0']",False
24,10082,"['topic_1', 'topic_7']",False
25,10086,"['topic_9_10', 'topic_4', 'topic_7', 'topic_1', 'topic_0_15', 'topic_7', 'topic_0', 'topic_10', 'topic_2']",False
26,10096,"['topic_8', 'topic_10', 'topic_4', 'topic_1']",False
27,1011,"['topic_10', 'topic_4', 'topic_1', 'topic_9_21', 'topic_3']",False
28,10119,"['topic_6_10', 'topic_4_9_21', 'topic_4_11', 'topic_6']",True
29,10139,"['topic_9', 'topic_4', 'topic_5', 'topic_18', 'topic_12', 'topic_18', 'topic_0', 'topic_3']",False
30,10156,"['topic_10', 'topic_4']",False
31,10162,"['topic_9_10', 'topic_9', 'topic_4', 'topic_6', 'topic_4', 'topic_1', 'topic_15', 'topic_7', 'topic_0_18', 'topic_10']",True
32,10163,"['topic_4_6_9', 'topic_1_20']",False
33,10169,"['topic_9_17_21', 'topic_0_3', 'topic_11']",False
34,10184,['topic_4_9'],False
35,10185,"['topic_9', 'topic_4', 'topic_18', 'topic_0_20', 'topic_0_21', 'topic_0_18', 'topic_5', 'topic_10']",False
36,10190,"['topic_9_10', 'topic_5_9', 'topic_10']",False
37,10202,"['topic_9_10', 'topic_4', 'topic_1', 'topic_6', 'topic_10', 'topic_2']",False
38,10206,"['topic_9', 'topic_9', 'topic_9']",False
39,10210,"['topic_10', 'topic_4', 'topic_5', 'topic_2_8', 'topic_4_10', 'topic_3', 'topic_18', 'topic_2']",False
40,10211,"['topic_3_8', 'topic_1_7_21', 'topic_7_12_15', 'topic_3_7_10', 'topic_1_2_7', 'topic_8', 'topic_7', 'topic_8']",False
41,10219,"['topic_8', 'topic_7_9', 'topic_4_21', 'topic_11', 'topic_1', 'topic_6', 'topic_10_18']",False
42,10222,['topic_1'],False
43,10225,"['topic_4', 'topic_3', 'topic_5', 'topic_10', 'topic_7', 'topic_2_8']",False
44,10226,"['topic_10', 'topic_2_21']",False
45,10227,"['topic_9_10', 'topic_9_10', 'topic_4', 'topic_1', 'topic_7', 'topic_9', 'topic_7_21', 'topic_9', 'topic_9', 'topic_9', 'topic_12', 'topic_9', 'topic_10_15', 'topic_9', 'topic_9', 'topic_2', 'topic_2', 'topic_13']",False
46,10230,"['topic_9', 'topic_4_9_10', 'topic_1', 'topic_5_16', 'topic_18', 'topic_10', 'topic_5_10_16', 'topic_5_17', 'topic_1', 'topic_17_21', 'topic_10', 'topic_7', 'topic_7']",False
47,10245,"['topic_8', 'topic_10', 'topic_4', 'topic_1', 'topic_5', 'topic_12', 'topic_12', 'topic_1', 'topic_15', 'topic_2_13']",False
48,10246,"['topic_4', 'topic_9', 'topic_18', 'topic_10', 'topic_9', 'topic_10']",False
49,1025,"['topic_1', 'topic_1_5', 'topic_13', 'topic_2_8', 'topic_7_10', 'topic_0_10', 'topic_1_18', 'topic_13', 'topic_1_5', 'topic_5']",False
50,10256,"['topic_9', 'topic_4']",False
51,10259,"['topic_8_9', 'topic_5', 'topic_4', 'topic_3_17_21', 'topic_5', 'topic_12', 'topic_0_10', 'topic_2', 'topic_7']",False
52,10268,"['topic_2_8', 'topic_9', 'topic_1']",False
53,10279,"['topic_4', 'topic_6']",False
54,1028,"['topic_10', 'topic_4', 'topic_3', 'topic_21', 'topic_5', 'topic_9', 'topic_0_12', 'topic_7', 'topic_12', 'topic_12', 'topic_7', 'topic_12', 'topic_18', 'topic_0_7', 'topic_1', 'topic_10', 'topic_6']",False
55,10285,"['topic_9', 'topic_4']",False
56,10291,"['topic_4_9', 'topic_5', 'topic_1', 'topic_18', 'topic_5', 'topic_10', 'topic_9', 'topic_10_11', 'topic_1', 'topic_13', 'topic_2', 'topic_13']",False
57,10314,"['topic_1', 'topic_5', 'topic_6', 'topic_8', 'topic_2']",False
58,10318,"['topic_4', 'topic_1']",False
59,10321,"['topic_2', 'topic_2_8_9', 'topic_1_4_9', 'topic_12_18', 'topic_10_12', 'topic_9_10_12', 'topic_16']",False
60,10330,"['topic_2_7', 'topic_4_9', 'topic_10_20', 'topic_0_1_2_8']",False
61,10337,"['topic_10', 'topic_1']",False
62,10347,"['topic_10', 'topic_4', 'topic_1', 'topic_10', 'topic_3']",False
63,10349,"['topic_0_6_9', 'topic_4_8_9', 'topic_1_3_5_12_18', 'topic_0_2_10']",False
64,10351,"['topic_9_10', 'topic_4', 'topic_1', 'topic_5_12', 'topic_20', 'topic_13']",False
65,10365,"['topic_9', 'topic_9', 'topic_9', 'topic_4', 'topic_18', 'topic_10', 'topic_2']",False
66,10366,"['topic_4', 'topic_10', 'topic_1_5', 'topic_18', 'topic_1', 'topic_3', 'topic_5', 'topic_9_10_15', 'topic_7_21', 'topic_18', 'topic_10', 'topic_2', 'topic_1_20']",False
67,10368,"['topic_10', 'topic_4', 'topic_5', 'topic_9', 'topic_18', 'topic_1', 'topic_6', 'topic_18', 'topic_10', 'topic_10', 'topic_2']",False
68,10372,"['topic_12', 'topic_20', 'topic_7_10', 'topic_3', 'topic_2']",False
69,10374,"['topic_9_21', 'topic_2', 'topic_21', 'topic_13', 'topic_10', 'topic_9', 'topic_4_9', 'topic_8', 'topic_9', 'topic_4', 'topic_1', 'topic_5', 'topic_18', 'topic_21', 'topic_5', 'topic_1', 'topic_0_10']",False
70,10384,"['topic_4', 'topic_1']",False
71,10385,"['topic_4_10', 'topic_9_10', 'topic_4', 'topic_1', 'topic_21', 'topic_9']",False
72,10389,['topic_9'],False
73,10394,"['topic_0_1', 'topic_7']",True
74,10396,"['topic_9_10', 'topic_4', 'topic_1']",False
75,1040,"['topic_4', 'topic_10']",False
76,1041,"['topic_4', 'topic_6', 'topic_6']",False
77,10412,"['topic_10', 'topic_9', 'topic_10', 'topic_11', 'topic_9_10', 'topic_9', 'topic_6', 'topic_2']",False
78,10417,"['topic_4_9', 'topic_12', 'topic_7', 'topic_5']",False
79,10427,"['topic_1', 'topic_12']",False
80,10430,"['topic_9_10', 'topic_4', 'topic_4', 'topic_20', 'topic_3', 'topic_6', 'topic_0', 'topic_9']",False
81,10452,"['topic_9', 'topic_10', 'topic_9', 'topic_9_21', 'topic_4', 'topic_5', 'topic_1', 'topic_0_18', 'topic_10']",False
82,10462,"['topic_0', 'topic_9', 'topic_12', 'topic_6_7_9', 'topic_6']",False
83,10477,"['topic_9', 'topic_9_10', 'topic_1_5', 'topic_21']",False
84,10484,"['topic_4', 'topic_15', 'topic_7', 'topic_6', 'topic_18', 'topic_18', 'topic_9', 'topic_8']",False
85,10490,['topic_1'],False
86,10491,"['topic_9', 'topic_1']",False
87,10498,"['topic_10', 'topic_8', 'topic_2']",False
88,10499,"['topic_9', 'topic_4', 'topic_11', 'topic_8', 'topic_7']",False
89,105,"['topic_9', 'topic_1', 'topic_12', 'topic_6']",False
90,10505,"['topic_10', 'topic_4']",False
91,1051,"['topic_4', 'topic_9', 'topic_1', 'topic_10']",False
92,10510,"['topic_4_6_10', 'topic_1']",False
93,10526,"['topic_13', 'topic_1', 'topic_1', 'topic_13', 'topic_5', 'topic_9', 'topic_5_9', 'topic_10', 'topic_3_4', 'topic_3', 'topic_1', 'topic_6', 'topic_12', 'topic_1', 'topic_0', 'topic_12', 'topic_15', 'topic_7', 'topic_10', 'topic_0_21', 'topic_9']",False
94,10530,"['topic_10', 'topic_4_8_9', 'topic_0']",False
95,10534,"['topic_8', 'topic_5_10', 'topic_3', 'topic_21', 'topic_12', 'topic_12', 'topic_0_10', 'topic_5', 'topic_10_15', 'topic_7', 'topic_6_12', 'topic_2', 'topic_6']",False
96,10541,"['topic_9', 'topic_10', 'topic_4', 'topic_1', 'topic_0', 'topic_10']",False
97,10542,"['topic_15', 'topic_9', 'topic_15', 'topic_13_15', 'topic_13', 'topic_9_10', 'topic_4', 'topic_3', 'topic_21', 'topic_12', 'topic_18', 'topic_9', 'topic_10', 'topic_9']",False
98,10545,"['topic_9_10', 'topic_12', 'topic_6', 'topic_1']",False
99,10548,"['topic_8_9', 'topic_3_4', 'topic_9', 'topic_21', 'topic_12', 'topic_5', 'topic_5', 'topic_21', 'topic_5', 'topic_6_10', 'topic_10', 'topic_14', 'topic_0_21', 'topic_18']",False
100,10556,"['topic_1', 'topic_15', 'topic_2']",False
101,10574,"['topic_8', 'topic_4', 'topic_10', 'topic_10', 'topic_2']",False
102,10577,"['topic_5', 'topic_9', 'topic_2', 'topic_10', 'topic_9', 'topic_4', 'topic_1', 'topic_1', 'topic_1']",False
103,10583,"['topic_7', 'topic_2_8', 'topic_2', 'topic_10', 'topic_9', 'topic_4']",False
104,10584,"['topic_1_4_9', 'topic_2']",False
105,10588,"['topic_9_10', 'topic_3_4', 'topic_5_9', 'topic_7_18_21', 'topic_1', 'topic_10_12_20', 'topic_6', 'topic_14_18', 'topic_12', 'topic_2', 'topic_3']",True
106,10594,"['topic_8', 'topic_6', 'topic_4', 'topic_6', 'topic_2', 'topic_2', 'topic_12', 'topic_6']",False
107,1061,"['topic_4', 'topic_9', 'topic_12', 'topic_12', 'topic_12', 'topic_2_13']",True
108,10615,"['topic_8', 'topic_9_10', 'topic_4', 'topic_1', 'topic_18', 'topic_6', 'topic_10_21', 'topic_12', 'topic_2']",False
109,10619,"['topic_4', 'topic_3']",False
110,10620,"['topic_9', 'topic_9', 'topic_0_1', 'topic_6', 'topic_4']",False
111,10621,"['topic_9', 'topic_1_4_18', 'topic_1_8', 'topic_0_16']",False
112,10624,"['topic_9_10', 'topic_1_9', 'topic_1_18', 'topic_0_9_10', 'topic_9_10', 'topic_1', 'topic_2']",False
113,10626,"['topic_3_4', 'topic_8']",False
114,10646,"['topic_5_9_10', 'topic_4', 'topic_11']",False
115,10650,"['topic_1', 'topic_2', 'topic_9', 'topic_0', 'topic_10', 'topic_4']",False
116,10657,"['topic_6_9', 'topic_4_7', 'topic_15', 'topic_1', 'topic_6_10', 'topic_2']",False
117,10660,"['topic_1', 'topic_6_9', 'topic_1']",False
118,10663,"['topic_4_7', 'topic_9']",False
119,10673,['topic_1'],False
120,10674,"['topic_8_9', 'topic_10', 'topic_9', 'topic_4', 'topic_9', 'topic_11', 'topic_1']",False
121,10675,"['topic_9', 'topic_9', 'topic_4_6_10', 'topic_12', 'topic_21', 'topic_3', 'topic_2_8_21', 'topic_6_21', 'topic_2_8']",False
122,10679,"['topic_6', 'topic_2_9_10', 'topic_4_7_9_11', 'topic_7', 'topic_7_18', 'topic_1_8']",False
123,10689,"['topic_4_11', 'topic_10', 'topic_15', 'topic_7', 'topic_15', 'topic_10', 'topic_12', 'topic_2']",False
124,10692,"['topic_4_9_10', 'topic_1', 'topic_6', 'topic_0_11', 'topic_18', 'topic_21']",False
125,10696,"['topic_4', 'topic_12', 'topic_1', 'topic_6_12', 'topic_6_12', 'topic_5', 'topic_14', 'topic_2', 'topic_1', 'topic_2']",False
126,10699,"['topic_9_10', 'topic_4', 'topic_1', 'topic_5_21', 'topic_5_12', 'topic_10', 'topic_12', 'topic_6_7', 'topic_7_21', 'topic_20', 'topic_12']",True
127,1070,"['topic_18', 'topic_0']",False
128,10702,"['topic_10', 'topic_4_6_9', 'topic_1', 'topic_10']",False
129,10705,"['topic_4_10', 'topic_16', 'topic_1_7_18', 'topic_1_8_12_18', 'topic_6']",False
130,10712,"['topic_4_6_9_10', 'topic_9', 'topic_1', 'topic_3_4', 'topic_12', 'topic_12', 'topic_5', 'topic_6', 'topic_21', 'topic_15', 'topic_5', 'topic_10', 'topic_6', 'topic_12', 'topic_18_19', 'topic_2_7']",False
131,10722,"['topic_6', 'topic_1', 'topic_21', 'topic_5', 'topic_2', 'topic_21', 'topic_6_10']",False
132,10723,"['topic_10', 'topic_9', 'topic_21', 'topic_3', 'topic_1', 'topic_21']",False
133,10724,"['topic_9', 'topic_4', 'topic_0', 'topic_1']",False
134,10733,"['topic_21', 'topic_8', 'topic_8_10', 'topic_21', 'topic_4', 'topic_0_10', 'topic_0_10_21', 'topic_12', 'topic_6', 'topic_0', 'topic_6', 'topic_18', 'topic_21', 'topic_0_21', 'topic_7']",False
