interview_code,topic
4366,"['topic_8', 'topic_10', 'topic_4', 'topic_0', 'topic_6_9_22']"
6730,"['topic_10', 'topic_9']"
8888,"['topic_9_22', 'topic_10', 'topic_4', 'topic_3', 'topic_7_17_21', 'topic_0_12', 'topic_6', 'topic_0', 'topic_11', 'topic_0_18', 'topic_1', 'topic_10', 'topic_6']"
19234,"['topic_0', 'topic_0', 'topic_6', 'topic_17_22', 'topic_1', 'topic_5', 'topic_3_4', 'topic_3', 'topic_4', 'topic_11', 'topic_8', 'topic_10', 'topic_1', 'topic_20', 'topic_3_12', 'topic_12']"
24707,"['topic_4_8_9', 'topic_4_8_18', 'topic_5']"
27783,"['topic_4', 'topic_10', 'topic_1', 'topic_1']"
32225,"['topic_2', 'topic_8', 'topic_4_17_22', 'topic_11_17_22', 'topic_9_20_22', 'topic_9_22']"
40481,"['topic_10', 'topic_9', 'topic_4', 'topic_3_4', 'topic_12', 'topic_6', 'topic_6_12', 'topic_10', 'topic_9_22', 'topic_8']"
47162,"['topic_10', 'topic_18']"
51864,"['topic_8', 'topic_10', 'topic_1']"
54113,"['topic_4_9_22', 'topic_4_9_20', 'topic_4_9_22', 'topic_4', 'topic_4_11', 'topic_1', 'topic_21', 'topic_1', 'topic_2_9_22']"
54864,"['topic_8_9', 'topic_4', 'topic_1', 'topic_21', 'topic_1', 'topic_18', 'topic_1_18', 'topic_5', 'topic_6', 'topic_15_18', 'topic_7_21', 'topic_9_22', 'topic_0_7_21', 'topic_0_9_22', 'topic_1', 'topic_11', 'topic_10', 'topic_2']"
